update,avg_reward,ma_reward,invalid_rate,ma_invalid,coop_rate,mutual_coop_rate,mutual_defect_rate,exploit_rate,exploited_rate,kl,use_mapped
33,0.375,-0.9896320954991139,0.5,0.7623776489120139,0.125,0.125,0.0,0.375,0.0,-382.2506103515625,0
34,-1.375,-1.0281688859492026,0.875,0.7736398840208125,0.0,0.0,0.0,0.125,0.0,-427.11016845703125,0
35,-2.0,-1.1253519973542825,1.0,0.7962758956187312,0.0,0.0,0.0,0.0,0.0,-470.8275146484375,0
36,-2.0,-1.2128167976188542,1.0,0.8166483060568581,0.0,0.0,0.0,0.0,0.0,-471.1269836425781,0
37,-2.0,-1.2915351178569687,1.0,0.8349834754511724,0.0,0.0,0.0,0.0,0.0,-456.4645690917969,0
38,-1.375,-1.299881606071272,0.875,0.8389851279060552,0.0,0.0,0.0,0.125,0.0,-451.77703857421875,0
39,-0.125,-1.1823934454641447,0.625,0.8175866151154497,0.0,0.0,0.0,0.375,0.0,-462.3937072753906,0
40,-0.875,-1.1516541009177301,0.75,0.8108279536039047,0.125,0.125,0.0,0.125,0.0,-480.4080810546875,0
41,-1.375,-1.1739886908259571,0.875,0.8172451582435143,0.0,0.0,0.0,0.125,0.0,-448.20404052734375,0
42,-1.375,-1.1940898217433613,0.875,0.823020642419163,0.0,0.0,0.0,0.125,0.0,-422.1954345703125,0
43,-2.0,-1.2746808395690252,1.0,0.8407185781772466,0.0,0.0,0.0,0.0,0.0,-396.0714111328125,0
44,-1.375,-1.2847127556121227,0.875,0.844146720359522,0.0,0.0,0.0,0.125,0.0,-409.542724609375,0
45,-1.375,-1.2937414800509104,0.875,0.8472320483235698,0.0,0.0,0.0,0.125,0.0,-429.55889892578125,0
46,-2.0,-1.3643673320458194,1.0,0.8625088434912128,0.0,0.0,0.0,0.0,0.0,-442.322998046875,0
47,-2.0,-1.4279305988412374,1.0,0.8762579591420915,0.0,0.0,0.0,0.0,0.0,-442.9998779296875,0
48,-0.75,-1.3601375389571138,0.75,0.8636321632278823,0.0,0.0,0.0,0.25,0.0,-451.2237548828125,0
49,-2.0,-1.4241237850614024,1.0,0.877268946905094,0.0,0.0,0.0,0.0,0.0,-453.6146240234375,0
50,-2.0,-1.4817114065552621,1.0,0.8895420522145846,0.0,0.0,0.0,0.0,0.0,-455.326904296875,0
